Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C12,C16,C17,C3,C9",C_0603_1608Metric,C14663,6
1000,R7,R_0603_1608Metric,C21190,1
105133-0011,J4,MOLEX_105133-0011,C586226,1
10K,"R10,R14,R15,R16,R17,R8",R_0603_1608Metric,C25804,6
10uF,C5,C_0603_1608Metric,C96446,1
120,R5,R_0603_1608Metric,C22787,1
1N4148 - C2128,"D11,D7",D_SOD-323,C2128,2
1N5819  C191023,D5,1N5819,C191023,1
1uF,"C15,C6",C_0603_1608Metric,C5199872,2
2.2K,"R12,R9",R_0603_1608Metric,C4190,2
22uF,"C18,C4",C_0603_1608Metric,C59461,2
3.3K,"R1,R13",R_0603_1608Metric,C2907023,2
330uF,C8,CP_Elec_10x10.5,C3032175,1
470,R11,R_0603_1608Metric,C114669,1
470uF,C7,CP_Elec_10x10.5,C2992611,1
74HC14,U2,SOIC-14_3.9x8.7mm_P1.27mm,C5605,1
AZ1117,IC1,SOT-223,C92102,1
BSS138,"Q1,Q2",SOT-23,C255592,2
C16902,FB2,D_1206_3216Metric,C16902,1
C19077570,"D12,D8,D9",D_SMB,C19077570,3
C492610,F1,Fuse_Holder_C492610,C492610,1
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681,1
Can Resistor,J9,PinHeader_1x02_P2.54mm_Vertical,C7494857,1
Conn_01x04_Socket,J1,PinSocket_1x04_P2.54mm_Vertical,C2718488,1
ESP32-WROOM-32U,U5,XCVR_ESP32-WROOM-32U,C701344,1
LED,D3,LED_0805_2012Metric,C84256,1
M7 - C95872,D6,DO-214AC,C95872,1
MCP2562-E-SN,U4,SOIC-8_3.9x4.9mm_P1.27mm,C53609,1
PC817 chip,"U6,U7,U8",SMD-4_4.6x7.62mm_P2.54mm,C66405,3
PESD1CAN_215  C15771,S1,DIO_PESD1CAN_215,C15771,1
S10MC,"D1,D4",D_SMC_larger_pads,C169472,2
SMDRI127-330MT,L2,TMPA1265SP-101MN-D,C9400,1
SS36,D2,SMA(DO-214AC),C2903825,1
Screw_Terminal_01x04,J2,"TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",C717432,1
XL2596,IC2,TO263-5L,C74190,1
